"Unnamed..0","Company","TypeName","Inches","ScreenResolution","Cpu","Ram","Memory","Gpu","OpSys","Weight","Price","Ram_Numeric"
0,"Apple","Ultrabook","13.3","IPS Panel Retina Display 2560x1600","Intel Core i5 2.3GHz","8GB","128GB SSD","Intel Iris Plus Graphics 640","macOS","1.37kg",71378.6832,8
1,"Apple","Ultrabook","13.3","1440x900","Intel Core i5 1.8GHz","8GB","128GB Flash Storage","Intel HD Graphics 6000","macOS","1.34kg",47895.5232,8
2,"HP","Notebook","15.6","Full HD 1920x1080","Intel Core i5 7200U 2.5GHz","8GB","256GB SSD","Intel HD Graphics 620","No OS","1.86kg",30636,8
3,"Apple","Ultrabook","15.4","IPS Panel Retina Display 2880x1800","Intel Core i7 2.7GHz","16GB","512GB SSD","AMD Radeon Pro 455","macOS","1.83kg",135195.336,16
4,"Apple","Ultrabook","13.3","IPS Panel Retina Display 2560x1600","Intel Core i5 3.1GHz","8GB","256GB SSD","Intel Iris Plus Graphics 650","macOS","1.37kg",96095.808,8
5,"Acer","Notebook","15.6","1366x768","AMD A9-Series 9420 3GHz","4GB","500GB HDD","AMD Radeon R5","Windows 10","2.1kg",21312,4
6,"Apple","Ultrabook","15.4","IPS Panel Retina Display 2880x1800","Intel Core i7 2.2GHz","16GB","256GB Flash Storage","Intel Iris Pro Graphics","Mac OS X","2.04kg",114017.6016,16
7,"Apple","Ultrabook","13.3","1440x900","Intel Core i5 1.8GHz","8GB","256GB Flash Storage","Intel HD Graphics 6000","macOS","1.34kg",61735.536,8
8,"Asus","Ultrabook","14","Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","16GB","512GB SSD","Nvidia GeForce MX150","Windows 10","1.3kg",79653.6,16
9,"Acer","Ultrabook","14","IPS Panel Full HD 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","256GB SSD","Intel UHD Graphics 620","Windows 10","1.6kg",41025.6,8
10,"HP","Notebook","15.6","1366x768","Intel Core i5 7200U 2.5GHz","4GB","500GB HDD","Intel HD Graphics 620","No OS","1.86kg",20986.992,4
11,"HP","Notebook","15.6","Full HD 1920x1080","Intel Core i3 6006U 2GHz","4GB","500GB HDD","Intel HD Graphics 520","No OS","1.86kg",18381.0672,4
12,"Apple","Ultrabook","15.4","IPS Panel Retina Display 2880x1800","Intel Core i7 2.8GHz","16GB","256GB SSD","AMD Radeon Pro 555","macOS","1.83kg",130001.6016,16
13,"Dell","Notebook","15.6","Full HD 1920x1080","Intel Core i3 6006U 2GHz","4GB","256GB SSD","AMD Radeon R5 M430","Windows 10","2.2kg",26581.392,4
14,"Apple","Ultrabook","12","IPS Panel Retina Display 2304x1440","Intel Core M m3 1.2GHz","8GB","256GB SSD","Intel HD Graphics 615","macOS","0.92kg",67260.672,8
15,"Apple","Ultrabook","13.3","IPS Panel Retina Display 2560x1600","Intel Core i5 2.3GHz","8GB","256GB SSD","Intel Iris Plus Graphics 640","macOS","1.37kg",80908.344,8
16,"Dell","Notebook","15.6","Full HD 1920x1080","Intel Core i7 7500U 2.7GHz","8GB","256GB SSD","AMD Radeon R5 M430","Windows 10","2.2kg",39693.6,8
17,"Apple","Ultrabook","15.4","IPS Panel Retina Display 2880x1800","Intel Core i7 2.9GHz","16GB","512GB SSD","AMD Radeon Pro 560","macOS","1.83kg",152274.24,16
18,"Lenovo","Notebook","15.6","Full HD 1920x1080","Intel Core i3 7100U 2.4GHz","8GB","1TB HDD","Nvidia GeForce 940MX","No OS","2.2kg",26586.72,8
19,"Dell","Ultrabook","13.3","IPS Panel Full HD / Touchscreen 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","128GB SSD","Intel UHD Graphics 620","Windows 10","1.22kg",52161.12,8
21,"Lenovo","Gaming","15.6","IPS Panel Full HD 1920x1080","Intel Core i5 7300HQ 2.5GHz","8GB","128GB SSD +  1TB HDD","Nvidia GeForce GTX 1050","Windows 10","2.5kg",53226.72,8
22,"HP","Notebook","15.6","1366x768","AMD E-Series E2-9000e 1.5GHz","4GB","500GB HDD","AMD Radeon R2","No OS","1.86kg",13746.24,4
23,"Dell","2 in 1 Convertible","13.3","Full HD / Touchscreen 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","256GB SSD","Intel UHD Graphics 620","Windows 10","1.62kg",43636.32,8
24,"HP","Ultrabook","15.6","Full HD 1920x1080","Intel Core i7 8550U 1.8GHz","8GB","256GB SSD","Intel HD Graphics 620","Windows 10","1.91kg",35111.52,8
25,"Dell","Notebook","15.6","1366x768","Intel Core i3 6006U 2GHz","4GB","1TB HDD","Intel HD Graphics 520","Windows 10","2.3kg",22305.1392,4
26,"Apple","Ultrabook","13.3","1440x900","Intel Core i5 1.6GHz","8GB","128GB Flash Storage","Intel HD Graphics 6000","Mac OS X","1.35kg",58554.72,8
27,"Dell","Notebook","15.6","Full HD 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","256GB SSD","AMD Radeon 530","Windows 10","2.2kg",42624,8
28,"Dell","Ultrabook","15.6","Full HD 1920x1080","Intel Core i7 8650U 1.9GHz","8GB","256GB SSD +  256GB SSD","Intel UHD Graphics 620","Windows 10","1.88kg",69157.44,8
29,"HP","Notebook","17.3","Full HD 1920x1080","Intel Core i5 8250U 1.6GHz","8GB","1TB HDD","Nvidia GeForce 930MX","Windows 10","2.5kg",47738.88,8
